Artista;Ospite;Brano Cover;Autore Cover;Anno Cover
Anna Oxa;Iljard Shaba;Un'emozione da poco;Anna Oxa;1978
Ariete;Sangiovanni;Centro di gravità permanente;Franco Battiato;1981
Articolo 31;Fedez;Medley Articolo 31;Articolo 31;
Colapesce Dimartino;Carla Bruni;Azzurro;Adriano Celentano;1968
Colla Zio;Ditonellapiaga;Salirò;Daniele Silvestri;2002
Coma_Cose;Baustelle;Sarà perché ti amo;Ricchi e Poveri;1981
Elodie;BigMama;American Woman;The Guess Who;1970
Gianluca Grignani;Arisa;Destinazione Paradiso;Gianluca Grignani;1995
Gianmaria;Manuel Agnelli;Quello che non c'è;Afterhours;2002
Giorgia;Elisa;Luce / Di sole e d'azzurro;Elisa;2001
I Cugini di Campagna;Paolo Vallesi;La forza della vita / Anima mia;Paolo Vallesi;1973
Lazza;Emma Marrone;La fine;Nesli;2009
LDA;Alex Britti;Oggi sono io;Alex Britti;1999
Leo Gassman;Edoardo Bennato;Medley Edoardo Bennato
Levante;Renzo Rubino;Vivere;Vasco Rossi;1993
Madame;Izi;Via del Campo;Fabrizio De André;1967
Mara Sattei;Noemi;L'amour toujours / I'll Fly with You;Gigi D'Agostino;1999
Marco Mengoni;The Kingdom Choir;Let It Be;The Beatles;1970
Modà;Le Vibrazioni;Vieni da me;Le Vibrazioni;2003
Mr. Rain;Fasma;Qualcosa di grande;Lùnapop;2000
Olly;Lorella Cuccarini;La notte vola;Lorella Cuccarini;1989
Paola e Chiara;Merk & Kremont;Medley Paola e Chiara;Paola e Chiara;
Rosa Chemical;Rose Villain;America;Gianna Nannini;1979
Sethu;Bnkr44;Charlie fa surf;Baustelle;2008
Shari;Salmo;Medley Zucchero;Zucchero;
Tananai;Don Joe;Vorrei cantare come Biagio;Simone Cristicchi;2005
Ultimo;Eros Ramazzotti;Medley Eros Ramazzotti;Eros Ramazzotti;
Will;Michele Zarrillo;Cinque giorni;Michele Zarrillo;1994
