;Artista;Ospite;ig_follower;ig_follower_ospite;Ultime partecipazioni al Festival;Quota
0;Anna Oxa;Iljard Shaba;18000.0;21000.0;2011.0;100.0
1;Ariete;Sangiovanni;534000.0;2000000.0;;33.0
2;Articolo 31;Fedez;2700000.0;15000000.0;;50.0
3;Colla Zio;Ditonellapiaga;9248.0;102000.0;;50.0
4;Elodie;BigMama;3000000.0;326000.0;2020.0;12.0
5;Gianluca Grignani;Arisa;197000.0;1000000.0;2015.0;25.0
6;Gianmaria;Manuel Agnelli;106000.0;198000.0;;25.0
7;Giorgia;Elisa;1000000.0;2000000.0;2001.0;3.5
8;Lazza;Emma Marrone;1000000.0;6000000.0;;10.0
9;Levante;Renzo Rubino;950000.0;17000.0;2020.0;33.0
10;Madame;Izi;926000.0;722000.0;2021.0;12.0
11;Mara Sattei;Noemi;382000.0;662000.0;;20.0
12;Marco Mengoni;The Kingdom Choir;2000000.0;74000.0;2013.0;3.0
13;Mr. Rain;Fasma;354000.0;207000.0;;75.0
14;Olly;Lorella Cuccarini;37500;687000.0;;150.0
15;Rosa Chemical;Rose Villain;157000.0;251000.0;;100.0
16;Shari;Salmo;69900;3000000.0;;150.0
17;Tananai;Don Joe;493000.0;344000.0;2022.0;25.0
18;Ultimo;Eros Ramazzotti;4000000.0;2000000.0;2019.0;3.5
19;Will;Michele Zarrillo;0;23000.0;;150.0
