;Ultime partecipazioni al Festival;Artista;Brano;Autori;Ospite;Brano Cover;Autore Cover;Anno Cover;Quota;info;Nazionalità;Paese d'origine;Genere;Periodo di attività musicale;Etichetta;Studio;Raccolte;Strumento
0;2011.0;Anna Oxa;Sali (Canto dell'anima);Kaballà, A. Oxa, F. Bianconi e F. Zanotti;Iljard Shaba;Un'emozione da poco;Anna Oxa;1978.0;100.0;{0: {'Artista': 'Anna Oxa', 'Anna Oxa in concerto nel 2009': 'Anna Oxa in concerto nel 2009', nan: nan, 'Nazionalità': 'Italia \xa0Albania', 'Genere': 'Pop', 'Periodo di attività\xa0musicale': '1978\xa0–\xa0in attività', 'Etichetta': 'RCA Italiana, CBS, Columbia, Sony BMG, EMI, Cose di Musica e suoni coscienti', 'Album pubblicati': '23', 'Studio': '18', 'Live': '2', 'Raccolte': '3', 'Sito ufficiale': 'Sito ufficiale', 'Modifica dati su Wikidata\xa0· Manuale': 'Modifica dati su Wikidata\xa0· Manuale'}};Italia  Albania;;Pop;1978 – in attività;RCA Italiana, CBS, Columbia, Sony BMG, EMI, Cose di Musica e suoni coscienti;18;3;
1;;Ariete;Mare di guai;Ariete, Calcutta, Dardust e V. Centrella;Sangiovanni;Centro di gravità permanente;Franco Battiato;1981.0;33.0;{0: {'Artista': 'Ariete', nan: nan, 'Nazionalità': 'Italia', 'Genere': 'Indie pop', 'Periodo di attività\xa0musicale': '2019\xa0–\xa0in attività', 'Strumento': 'voce, chitarra, pianoforte', 'Etichetta': 'Bomba Dischi, Universal Music', 'Album pubblicati': '2', 'Studio': '1', 'Raccolte': '1', 'Sito ufficiale': 'Sito ufficiale', 'Modifica dati su Wikidata\xa0· Manuale': 'Modifica dati su Wikidata\xa0· Manuale'}};Italia;;Indie pop;2019 – in attività;Bomba Dischi, Universal Music;1;1;voce, chitarra, pianoforte
2;;Articolo 31;Un bel viaggio;D. Silvestri, W. Perrini, V. Perrini, A. Colangelo, F. Abbate, J-Ax e Grido;Fedez;Medley Articolo 31;Articolo 31;;50.0;"{0: {'Artista': 'Articolo 31', 'DJ Jad e J-Ax in una scena del loro film Senza filtro': 'DJ Jad e J-Ax in una scena del loro film Senza filtro', nan: nan, ""Paese d'origine"": 'Italia', 'Genere': 'Hip hop[1][2]', 'Periodo di attività\xa0musicale': '1990\xa0–\xa02006 2018\xa0–\xa0in attività', 'Album pubblicati': '10', 'Studio': '7', 'Live': '1', 'Raccolte': '2', 'Logo ufficiale': 'Logo ufficiale', 'Sito ufficiale': 'Sito ufficiale', 'Modifica dati su Wikidata\xa0· Manuale': 'Modifica dati su Wikidata\xa0· Manuale'}}";;Italia;Hip hop[1][2];1990 – 2006 2018 – in attività;;7;2;
3;;Colla Zio;Non mi va;T. Manzoni, A. Malatesta, F. U. Lamperti, T. Bernasconi, A. Arminio e G. Pesenti;Ditonellapiaga;Salirò;Daniele Silvestri;2002.0;50.0;"{0: {'Artista': 'Colla Zio', nan: nan, ""Paese d'origine"": 'Italia', 'Genere': 'Pop Hip hop Urban', 'Periodo di attività\xa0musicale': '2019\xa0–\xa0in attività', 'Etichetta': 'Woodworm', 'Modifica dati su Wikidata\xa0· Manuale': 'Modifica dati su Wikidata\xa0· Manuale'}}";;Italia;Pop Hip hop Urban;2019 – in attività;Woodworm;;;
4;2020.0;Elodie;Due;F. Abbate, J. Ettorre, F. Catitti e Elodie;BigMama;American Woman;The Guess Who;1970.0;12.0;"{0: {'Artista': 'Elodie', ""Elodie alla 79ª Mostra internazionale d'arte cinematografica di Venezia nel 2022"": ""Elodie alla 79ª Mostra internazionale d'arte cinematografica di Venezia nel 2022"", nan: nan, 'Nazionalità': 'Italia', 'Genere': 'Pop[1]', 'Periodo di attività\xa0musicale': '2015\xa0–\xa0in attività', 'Etichetta': 'Universal Music Group', 'Album pubblicati': '3', 'Studio': '3', 'Modifica dati su Wikidata\xa0· Manuale': 'Modifica dati su Wikidata\xa0· Manuale'}}";Italia;;Pop[1];2015 – in attività;Universal Music Group;3;;
5;2015.0;Gianluca Grignani;Quando ti manca il fiato;E. Melozzi e G. Grignani;Arisa;Destinazione Paradiso;Gianluca Grignani;1995.0;25.0;{0: {'Artista': 'Gianluca Grignani', 'Gianluca Grignani in concerto nel 2008': 'Gianluca Grignani in concerto nel 2008', nan: nan, 'Nazionalità': 'Italia', 'Genere': 'Pop rock Rock alternativo', 'Periodo di attività\xa0musicale': '1994\xa0–\xa0in attività', 'Strumento': 'voce, chitarra', 'Etichetta': 'Mercury Records, PolyGram, Universal Music Group, Sony Music', 'Album pubblicati': '16', 'Studio': '10', 'Raccolte': '6', 'Sito ufficiale': 'Sito ufficiale', 'Modifica dati su Wikidata\xa0· Manuale': 'Modifica dati su Wikidata\xa0· Manuale'}};Italia;;Pop rock Rock alternativo;1994 – in attività;Mercury Records, PolyGram, Universal Music Group, Sony Music;10;6;voce, chitarra
6;;Gianmaria;Mostro;G. Manilardi, A. Filippelli, V. Centrella, V. Petrozzino e G. Volpato;Manuel Agnelli;Quello che non c'è;Afterhours;2002.0;25.0;{0: {'Artista': 'Gianmaria', nan: nan, 'Nazionalità': 'Italia', 'Genere': 'Indie pop Hip hop', 'Periodo di attività\xa0musicale': '2020\xa0–\xa0in attività', 'Strumento': 'voce', 'Etichetta': 'Epic Records, Sony Music', 'Modifica dati su Wikidata\xa0· Manuale': 'Modifica dati su Wikidata\xa0· Manuale'}};Italia;;Indie pop Hip hop;2020 – in attività;Epic Records, Sony Music;;;voce
7;2001.0;Giorgia;Parole dette male;F. Roccati, Bianco, Big Fish e M. M. G. Fracchiolla;Elisa;Luce / Di sole e d'azzurro;Elisa;2001.0;3.5;{0: {'Artista': 'Giorgia', 'Giorgia in concerto a Milano nel 2012': 'Giorgia in concerto a Milano nel 2012', nan: nan, 'Nazionalità': 'Italia', 'Genere': 'Pop[1]', 'Periodo di attività\xa0musicale': '1992\xa0–\xa0in attività', 'Etichetta': 'Dischi di Cioccolata/Sony Music', 'Album pubblicati': '19', 'Studio': '12', 'Live': '5', 'Raccolte': '2', 'Sito ufficiale': 'Sito ufficiale', 'Modifica dati su Wikidata\xa0· Manuale': 'Modifica dati su Wikidata\xa0· Manuale'}};Italia;;Pop[1];1992 – in attività;Dischi di Cioccolata/Sony Music;12;2;
8;;Lazza;Cenere;D. Petrella, Lazza e Dardust;Emma Marrone;La fine;Nesli;2009.0;10.0;{0: {'Artista': 'Lazza', nan: nan, 'Nazionalità': 'Italia', 'Genere': 'Alternative hip hop[1]', 'Periodo di attività\xa0musicale': '2009\xa0–\xa0in attività', 'Strumento': 'voce, pianoforte', 'Etichetta': '333 Mob, Universal', 'Album pubblicati': '3', 'Studio': '3', 'Modifica dati su Wikidata\xa0· Manuale': 'Modifica dati su Wikidata\xa0· Manuale'}};Italia;;Alternative hip hop[1];2009 – in attività;333 Mob, Universal;3;;voce, pianoforte
9;2020.0;Levante;Vivo;Levante;Renzo Rubino;Vivere;Vasco Rossi;1993.0;33.0;{0: {'Artista': 'Levante', 'Levante nel 2015': 'Levante nel 2015', nan: nan, 'Nazionalità': 'Italia', 'Genere': 'Pop Pop rock', 'Periodo di attività\xa0musicale': '2009\xa0–\xa0in attività', 'Strumento': 'voce, chitarra, pianoforte, tastiera, basso', 'Etichetta': 'INRI, Warner Music Italy', 'Album pubblicati': '4', 'Studio': '4', 'Sito ufficiale': 'Sito ufficiale', 'Modifica dati su Wikidata\xa0· Manuale': 'Modifica dati su Wikidata\xa0· Manuale'}};Italia;;Pop Pop rock;2009 – in attività;INRI, Warner Music Italy;4;;voce, chitarra, pianoforte, tastiera, basso
