;Artista;Nazionalità;Studio;Raccolte;Periodo di attività musicale;Etichetta;Ospite;ig_follower;ig_follower_ospite;Ultime partecipazioni al Festival;Quota
0;Anna Oxa;Italia  Albania;18;3;1978 – in attività;RCA Italiana, CBS, Columbia, Sony BMG, EMI, Cose di Musica e suoni coscienti;Iljard Shaba;18000.0;21000.0;2011.0;100.0
1;Ariete;Italia;1;1;2019 – in attività;Bomba Dischi, Universal Music;Sangiovanni;534000.0;2000000.0;;33.0
2;Articolo 31;;7;2;1990 – 2006 2018 – in attività;;Fedez;2700000.0;15000000.0;;50.0
3;Colla Zio;;;;2019 – in attività;Woodworm;Ditonellapiaga;9787.0;102000.0;;50.0
4;Elodie;Italia;3;;2015 – in attività;Universal Music Group;BigMama;3000000.0;327000.0;2020.0;12.0
5;Gianluca Grignani;Italia;10;6;1994 – in attività;Mercury Records, PolyGram, Universal Music Group, Sony Music;Arisa;198000.0;;2015.0;25.0
6;Gianmaria;;;;;;Manuel Agnelli;106000.0;198000.0;;25.0
7;Giorgia;Italia;12;2;1992 – in attività;Dischi di Cioccolata/Sony Music;Elisa;1000000.0;2000000.0;2001.0;3.5
8;Lazza;Italia;3;;2009 – in attività;333 Mob, Universal;Emma Marrone;1000000.0;6000000.0;;10.0
9;Levante;Italia;4;;2009 – in attività;INRI, Warner Music Italy;Renzo Rubino;951000.0;18000.0;2020.0;33.0
10;Madame;Italia;1;;2018 – in attività;Sugar Music;Izi;924000.0;722000.0;2021.0;12.0
11;Mara Sattei;Italia;1;;2013 – in attività;Columbia Records, Epic Records, Arista Records;Noemi;382000.0;662000.0;;20.0
12;Marco Mengoni;Italia;7;;2009 – in attività;Sony Music;The Kingdom Choir;2000000.0;;2013.0;3.0
13;Mr. Rain;Italia;4;;2011 – in attività;Atlantic Records/Warner Music Italy;Fasma;354000.0;207000.0;;75.0
14;Olly;Italia;;;1977 – in attività;;Lorella Cuccarini;184000.0;687000.0;;150.0
15;Rosa Chemical;Italia;1;;2015 – in attività;Thaurus, Universal Music Group;Rose Villain;163000.0;;;100.0
16;Shari;Italia;;;2016 – in attività;Columbia Records, Sony Music;Salmo;72000.0;3000000.0;;150.0
17;Tananai;Italia;2;;2014 – in attività;Universal Music Italia;Don Joe;494000.0;345000.0;2022.0;25.0
18;Ultimo;Italia;4;;2016 – in attività;Honiro Label (2016-2020) Ultimo Records (2020-in corso);Eros Ramazzotti;65000.0;2000000.0;2019.0;3.5
19;Will;Italia;;;2019 – in attività;Capitol Records, Universal Music Group;Michele Zarrillo;23000.0;;;150.0
