;Artista;Ospite;ig_follower;ig_follower_ospite;Ultime partecipazioni al Festival;Quota
0;Anna Oxa;Iljard Shaba;18K;21K;2011.0;100.0
1;Ariete;Sangiovanni;534K;2M;;33.0
2;Articolo 31;Fedez;3,832;15M;;50.0
3;Colla Zio;Ditonellapiaga;9,247;102K;;50.0
4;Elodie;BigMama;3M;326K;2020.0;12.0
5;Gianluca Grignani;Arisa;197K;1M;2015.0;25.0
6;Gianmaria;Manuel Agnelli;106K;198K;;25.0
7;Giorgia;Elisa;1M;2M;2001.0;3.5
8;Lazza;Emma Marrone e Laura Marzadori;1M;125K;;10.0
9;Levante;Renzo Rubino;950K;17K;2020.0;33.0
10;Madame;Izi;926K;722K;2021.0;12.0
11;Mara Sattei;Noemi;382K;662K;;20.0
12;Marco Mengoni;The Kingdom Choir;2M;74K;2013.0;3.0
13;Mr. Rain;Fasma;354K;207K;;75.0
14;Olly;Lorella Cuccarini;183K;687K;;150.0
15;Rosa Chemical;Rose Villain;157K;251K;;100.0
16;Shari;Salmo;71K;3M;;150.0
17;Tananai;Don Joe;493K;344K;2022.0;25.0
18;Ultimo;Eros Ramazzotti;4M;2M;2019.0;3.5
19;Will;Michele Zarrillo;1M;23K;;150.0
